1,0.23256,1,0.234812,1,0.231164,1,0.235157,1,0.233561,1,0.233022,1,0.236187,1,0.235708,1,0.233044,1,0.236229,1,0.23347,1,0.235199,1,0.235583,1,0.232844,1,0.223435,1,0.232496,1,0.23296,1,0.236765,1,0.235699,1,0.235168
1,0.1982,1,0.197984,1,0.198127,1,0.19814,1,0.198059,1,0.198069,1,0.19788,1,0.198157,1,0.198295,1,0.197993,1,0.197888,1,0.196665,1,0.197956,1,0.197903,1,0.199095,1,0.196818,1,0.198322,1,0.197737,1,0.197884,1,0.197996
2,0.288879,2,0.289535,2,0.287785,2,0.288555,2,0.288496,2,0.288541,2,0.287672,2,0.287714,2,0.287707,2,0.288326,2,0.288208,2,0.287786,2,0.287784,2,0.288086,2,0.288005,2,0.288746,2,0.287123,2,0.28822,2,0.286823,2,0.287596
2,0.310681,2,0.310552,2,0.311239,2,0.310519,2,0.310333,2,0.310112,2,0.310067,2,0.31043,2,0.310441,2,0.310137,2,0.30991,2,0.309991,2,0.310027,2,0.309888,2,0.312721,2,0.309985,2,0.310374,2,0.310076,2,0.310016,2,0.310881
4,0.522126,4,0.522929,4,0.52243,4,0.522673,4,0.522319,4,0.523201,4,0.522406,4,0.522363,4,0.521546,4,0.521451,4,0.521431,4,0.521686,4,0.520494,4,0.521815,4,0.521902,4,0.522003,4,0.522339,4,0.521897,4,0.521787,4,0.522549
4,0.621543,4,0.621284,4,0.622324,4,0.621172,4,0.620466,4,0.620584,4,0.620382,4,0.621273,4,0.6214,4,0.620392,4,0.619925,4,0.619698,4,0.620006,4,0.61989,4,0.625668,4,0.619907,4,0.620457,4,0.620017,4,0.619966,4,0.620795
8,1.27978,8,1.27804,8,1.27911,8,1.28075,8,1.27505,8,1.27507,8,1.27579,8,1.2819,8,1.27564,8,1.26981,8,1.2746,8,1.26772,8,1.27803,8,1.27149,8,1.27246,8,1.27522,8,1.27387,8,1.2697,8,1.26808,8,1.27752
8,1.244534,8,1.242814,8,1.244015,8,1.242571,8,1.241358,8,1.240958,8,1.241322,8,1.242123,8,1.241887,8,1.240908,8,1.239836,8,1.239906,8,1.240127,8,1.23946,8,1.252191,8,1.239924,8,1.241292,8,1.240395,8,1.239655,8,1.242494
16,2.79644,16,2.80432,16,2.79722,16,2.79947,16,2.78988,16,2.79146,16,2.78914,16,2.79832,16,2.81571,16,2.7967,16,2.78075,16,2.78261,16,2.7795,16,2.78524,16,2.79172,16,2.78688,16,2.7866,16,2.79199,16,2.78389,16,2.79135
16,2.485757,16,2.485256,16,2.485864,16,2.48573,16,2.482546,16,2.481695,16,2.480426,16,2.483886,16,2.48211,16,2.481217,16,2.479767,16,2.480868,16,2.480578,16,2.478582,16,2.504171,16,2.479978,16,2.482339,16,2.480882,16,2.480024,16,2.484575
32,4.23593,32,4.237645,32,4.236752,32,4.236435,32,4.234209,32,4.234243,32,4.2352,32,4.23497,32,4.23286,32,4.233205,32,4.232044,32,4.232469,32,4.232043,32,4.232563,32,4.243755,32,4.232931,32,4.23263,32,4.231789,32,4.231827,32,4.236153
32,4.973324,32,4.967392,32,4.973613,32,4.971463,32,4.965198,32,4.96274,32,4.962411,32,4.965547,32,4.971472,32,4.962847,32,4.957507,32,4.958052,32,4.960449,32,4.957452,32,5.5491,32,4.958368,32,4.96434,32,4.961791,32,4.959791,32,4.969348
64,9.132622,64,9.135607,64,9.133192,64,9.135666,64,9.125979,64,9.126159,64,9.127843,64,9.130425,64,9.126165,64,9.123716,64,9.124454,64,9.120941,64,9.122021,64,9.123797,64,9.180609,64,9.122791,64,9.123715,64,9.121294,64,9.122558,64,9.126815
64,9.937878,64,9.936726,64,9.945725,64,9.941655,64,9.923681,64,9.921077,64,9.920236,64,9.931327,64,9.933491,64,9.919672,64,9.917607,64,9.918491,64,9.922881,64,9.916387,64,9.970745,64,9.919986,64,9.928476,64,9.920054,64,9.917738,64,9.938395
128,17.842793,128,17.840086,128,17.842194,128,17.845455,128,17.822932,128,17.820428,128,17.823717,128,17.837582,128,17.820256,128,17.822291,128,17.824303,128,17.815066,128,17.814934,128,17.81186,128,17.817147,128,17.815588,128,17.820588,128,17.816768,128,17.811944,128,17.819977
128,19.888623,128,19.877898,128,19.892149,128,19.890949,128,19.856786,128,19.852727,128,19.846882,128,19.864606,128,19.874846,128,19.847123,128,19.832891,128,19.837156,128,19.839245,128,19.830196,128,19.896131,128,19.831842,128,19.901019,128,19.842347,128,19.835379,128,19.874551
256,35.221497,256,35.223643,256,35.220745,256,35.224407,256,35.202303,256,35.224752,256,35.203388,256,35.221137,256,35.206061,256,35.201938,256,35.205441,256,35.195644,256,35.191129,256,35.190847,256,35.243085,256,35.191568,256,35.237499,256,35.195893,256,35.20969,256,35.189963
256,39.826602,256,39.806564,256,39.831131,256,39.808038,256,39.764515,256,39.807178,256,39.743986,256,40.253526,256,39.785967,256,39.742558,256,39.712689,256,39.701165,256,39.711505,256,39.688746,256,39.777488,256,39.70041,256,39.779767,256,39.718783,256,39.757823,256,39.837437
512,69.934843,512,69.929637,512,69.936008,512,69.986128,512,69.895698,512,69.901036,512,69.907393,512,69.909992,512,69.899564,512,69.89237,512,69.88432,512,69.87656,512,69.878284,512,69.875441,512,69.946208,512,69.873796,512,69.953776,512,69.882563,512,69.944054,512,69.97693
512,79.704825,512,79.646825,512,79.683668,512,79.673804,512,79.530599,512,79.553968,512,79.534209,512,79.653491,512,79.590295,512,79.508879,512,79.41093,512,79.384917,512,79.397544,512,79.425776,512,79.504937,512,79.394515,512,79.485251,512,79.4232,512,79.443032,512,79.634172
1024,139.495613,1024,139.470433,1024,139.467152,1024,139.454519,1024,139.396207,1024,139.457251,1024,139.375391,1024,139.400719,1024,139.341271,1024,139.396771,1024,139.344033,1024,139.312029,1024,139.348616,1024,139.328302,1024,139.376943,1024,139.314448,1024,139.420047,1024,139.300502,1024,139.393473,1024,139.582787
1024,159.314646,1024,159.295368,1024,159.379142,1024,159.105903,1024,159.55687,1024,158.983964,1024,159.121994,1024,158.998717,1024,159.102729,1024,158.964137,1024,158.806624,1024,158.812762,1024,158.838052,1024,158.786508,1024,158.955639,1024,158.810655,1024,158.907854,1024,158.868255,1024,158.803705,1024,159.22262
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median:,DataFirst,,,,,SerialFirst,SerialFirst,DataFirst,,Normalized Runtimes,SerialFirst,DataFirst,,,,,DataLen,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,1,0.1979945,0.2341865,,1,338943071.7,286561625,,,,,67108864,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,2,0.310235,0.2880455,,2,432632449.6,465960162.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,4,0.6204615,0.5220645,,4,432638376.4,514180634.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,8,1.241307,1.275145,,8,432504539.2,421027343.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,,,,,16,2.4819025,2.791405,,16,432628527.5,384659991.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,,,,,32,4.9635935,4.233707,,32,432646961.9,507234829.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,64,,,,,64,9.923281,9.126069,,64,432817260.3,470626213.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,128,,,,,128,19.8547565,17.820508,,128,432638627,482025237,,,,,,,,,,,,,,,,,,,,,,,,,,,
,256,,,,,256,39.7710015,35.205751,,256,431969740.2,487984738.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,512,,,,,512,79.519739,69.9042145,,512,432090683.4,491525991.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1024,,,,,1024,158.9740505,139.39484,,1024,432268515,492984365.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
